amfi_code,HHI
100016,0.13953386
100033,0.14759225999999998
101206,0.12933173
101207,0.20070043000000004
102885,0.17470902
102886,0.11469284
102887,0.12980495
118632,0.1682982
118633,0.12146086
118634,0.10835771999999999
118635,0.13594414999999999
119092,0.20644766999999997
119093,0.13089424
119094,0.13640591
119095,0.10960535000000002
119551,0.11871551999999999
119552,0.10801069
119598,0.10734895
119599,0.17475095999999996
120503,0.14087026
120504,0.10867415
120505,0.15757036
120506,0.1537936
120841,0.14968035000000002
120842,0.12743880999999999
120843,0.12868306
125497,0.13658553999999998
125498,0.15241397999999998
148567,0.13858417
148568,0.16792973
148569,0.14939641999999997
149322,0.13439797
149323,0.14162096
149324,0.11867710000000001
