investor_id,avg_gap,sip_count,at_risk
INV000011,40.166666666666664,6,True
INV000012,57.0,7,True
INV000013,55.333333333333336,6,True
INV000014,75.33333333333333,6,True
INV000023,58.57142857142857,7,True
INV000029,60.666666666666664,6,True
INV000030,47.625,8,True
INV000033,45.57142857142857,7,True
INV000048,46.0,8,True
INV000057,49.714285714285715,7,True
INV000069,49.111111111111114,9,True
INV000073,48.25,8,True
INV000074,72.57142857142857,7,True
INV000081,81.33333333333333,6,True
INV000082,83.66666666666667,6,True
INV000086,44.666666666666664,9,True
INV000091,44.0,7,True
INV000093,55.5,6,True
INV000097,54.5,6,True
INV000101,65.0,7,True
INV000102,65.28571428571429,7,True
INV000105,57.0,7,True
INV000109,46.25,8,True
INV000113,46.0,7,True
INV000123,59.666666666666664,6,True
INV000131,56.0,6,True
INV000148,52.0,8,True
INV000155,37.333333333333336,6,True
INV000161,73.0,6,True
INV000163,61.0,7,True
INV000169,67.83333333333333,6,True
INV000173,57.666666666666664,6,True
INV000175,83.66666666666667,6,True
INV000177,65.42857142857143,7,True
INV000183,56.125,8,True
INV000191,56.5,6,True
INV000194,58.0,6,True
INV000196,69.0,6,True
INV000201,51.125,8,True
INV000205,62.57142857142857,7,True
INV000210,70.71428571428571,7,True
INV000228,59.75,8,True
INV000236,67.14285714285714,7,True
INV000239,48.857142857142854,7,True
INV000249,45.5,6,True
INV000260,59.57142857142857,7,True
INV000262,53.57142857142857,7,True
INV000263,68.42857142857143,7,True
INV000265,53.44444444444444,9,True
INV000268,62.333333333333336,6,True
INV000279,43.375,8,True
INV000280,55.75,8,True
INV000287,69.83333333333333,6,True
INV000289,62.714285714285715,7,True
INV000292,46.0,6,True
INV000293,47.0,6,True
INV000304,70.0,6,True
INV000309,52.0,7,True
INV000310,75.83333333333333,6,True
INV000319,73.5,6,True
INV000321,72.83333333333333,6,True
INV000328,37.5,8,True
INV000331,50.714285714285715,7,True
INV000334,25.5,6,False
INV000341,54.42857142857143,7,True
INV000359,54.125,8,True
INV000363,77.0,6,True
INV000371,59.285714285714285,7,True
INV000372,54.5,6,True
INV000388,53.625,8,True
INV000392,77.16666666666667,6,True
INV000395,55.666666666666664,6,True
INV000399,49.55555555555556,9,True
INV000412,43.714285714285715,7,True
INV000414,66.28571428571429,7,True
INV000415,66.16666666666667,6,True
INV000427,68.5,6,True
INV000428,52.142857142857146,7,True
INV000440,69.57142857142857,7,True
INV000445,57.75,8,True
INV000452,49.375,8,True
INV000463,65.16666666666667,6,True
INV000466,73.33333333333333,6,True
INV000467,56.666666666666664,9,True
INV000469,70.5,6,True
INV000483,70.42857142857143,7,True
INV000493,47.55555555555556,9,True
INV000497,71.83333333333333,6,True
INV000499,77.83333333333333,6,True
INV000507,70.16666666666667,6,True
INV000512,54.75,8,True
INV000524,55.0,6,True
INV000531,47.0,6,True
INV000539,77.0,6,True
INV000540,73.5,6,True
INV000543,83.66666666666667,6,True
INV000546,55.0,8,True
INV000556,52.42857142857143,7,True
INV000563,76.33333333333333,6,True
INV000566,35.0,6,False
